ts,agent_id,x,y,z,v
63926,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
63927,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
63928,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
63929,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
63930,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
63931,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
63932,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
63933,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
63934,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.661921592217601e-08
63935,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.498006445042761e-08
63936,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.06415145704333e-08
63937,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.34146695168708e-08
63938,0,192.36241149902344,-86.26268005371094,-0.04107673466205597,0.00028598752150985415
63939,0,192.36244201660156,-86.26265716552734,-0.03865554556250572,0.0011592803665176617
63940,0,192.36241149902344,-86.26264190673828,-0.03404334932565689,0.0004834541152837637
63941,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.00013371919348988815
63942,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.48479328138849e-05
63943,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.00012744807931189484
63944,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.0001615626927423716
63945,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.0001695801212612278
63946,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016434990705089552
63947,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.00015267582528283243
63948,0,192.36244201660156,-86.26265716552734,0.01010768860578537,0.00013911755559627652
63949,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.00012424603845636995
63950,0,192.36244201660156,-86.26265716552734,0.016817854717373848,0.00011037049477863103
63951,0,192.36245727539062,-86.26266479492188,0.019500579684972763,9.754943592551037e-05
63952,0,192.36245727539062,-86.26266479492188,0.02179538644850254,8.594234967213337e-05
63953,0,192.36245727539062,-86.26266479492188,0.02374778687953949,7.446859027658387e-05
63954,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.558433298836198e-05
63955,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.7266546185174654e-05
63956,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.00338429432383e-05
63957,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.3655944790159344e-05
63958,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.828999130142481e-05
63959,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.335361560934059e-05
63960,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.91023891842835e-05
63961,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.5366195081501918e-05
63962,0,192.36245727539062,-86.2626724243164,0.031874656677246094,2.18557294358552e-05
63963,0,192.36245727539062,-86.2626724243164,0.032195623964071274,1.8536430506033776e-05
63964,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.6747248704181304e-05
63965,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.4191589076882663e-05
63966,0,192.36245727539062,-86.2626724243164,0.03285682573914528,1.2615520280370905e-05
63967,0,192.36245727539062,-86.2626724243164,0.03300369158387184,1.120889826055737e-05
63968,0,192.36245727539062,-86.2626724243164,0.03312404453754425,9.773294781406881e-06
63969,0,192.36245727539062,-86.2626724243164,0.033222541213035583,8.336145545442443e-06
63970,0,192.36245727539062,-86.2626724243164,0.03330310806632042,7.026108011539076e-06
63971,0,192.36245727539062,-86.2626724243164,0.033368948847055435,5.936303101092393e-06
63972,0,192.36245727539062,-86.2626724243164,0.03342258557677269,5.107924735191285e-06
63973,0,192.36245727539062,-86.26268005371094,0.033466413617134094,4.576966975206983e-06
63974,0,192.36245727539062,-86.26268005371094,0.0334714874625206,4.0659618771036703e-07
63975,0,192.36245727539062,-86.26268005371094,0.03348476439714432,3.250763772599367e-07
63976,0,192.36245727539062,-86.26268005371094,0.03350048139691353,3.804033216015356e-07
63977,0,192.36245727539062,-86.26268005371094,0.033516958355903625,4.129885996242008e-07
63978,0,192.36245727539062,-86.26268005371094,0.033533286303281784,4.4574984263155315e-07
63979,0,192.36245727539062,-86.26268005371094,0.03354877233505249,3.6133619721447997e-07
63980,0,192.36245727539062,-86.26268005371094,0.0335630401968956,2.554698871407833e-07
63981,0,192.36245727539062,-86.26268005371094,0.03357597440481186,2.940040720781278e-07
63982,0,192.36245727539062,-86.26268005371094,0.03358745574951172,2.1423828129927257e-07
63983,0,192.36245727539062,-86.26268005371094,0.033597640693187714,2.2263282204917563e-07
63984,0,192.36245727539062,-86.26268005371094,0.03360656648874283,1.5778524920413431e-07
63985,0,192.36245727539062,-86.26268005371094,0.03361419588327408,1.3981356609744494e-07
63986,0,192.36245727539062,-86.26268005371094,0.03362075611948967,1.275251523440465e-07
63987,0,192.36245727539062,-86.26268005371094,0.03362640365958214,1.0774312728233665e-07
63988,0,192.36245727539062,-86.26268005371094,0.033631209284067154,8.218375217064104e-08
63989,0,192.36245727539062,-86.26268005371094,0.033635254949331284,1.2319355975698329e-07
63990,0,192.36245727539062,-86.26268005371094,0.0336386114358902,7.855774928461864e-08
63991,0,192.36245727539062,-86.26268005371094,0.0336386114358902,1.3245740271752228e-07
63992,0,192.36245727539062,-86.26268005371094,0.03364013507962227,4.140879413583498e-08
63993,0,192.36245727539062,-86.26268005371094,0.0336415097117424,8.347613576257998e-08
63994,0,192.36245727539062,-86.26268005371094,0.0336429588496685,1.1585949273475977e-07
63995,0,192.36245727539062,-86.26268005371094,0.03364437073469162,2.41997114683851e-08
63996,0,192.36245727539062,-86.26268005371094,0.03364570438861847,6.526269821060045e-08
63997,0,192.36245727539062,-86.26268005371094,0.033647000789642334,1.0326651863181763e-08
63998,0,192.36245727539062,-86.26268005371094,0.03364814817905426,7.408594257153428e-08
63999,0,192.36245727539062,-86.26268005371094,0.033649176359176636,9.795905454626552e-08
64000,0,192.36245727539062,-86.26268005371094,0.033649176359176636,3.553901065408364e-08
64001,0,192.36245727539062,-86.26268005371094,0.03365089371800423,1.0141041798541466e-07
64002,0,192.36245727539062,-86.26268005371094,0.03365089371800423,7.673412270060419e-08
64003,0,192.36245727539062,-86.26268005371094,0.03365215286612511,1.9873503013217698e-08
64004,0,192.36245727539062,-86.26268005371094,0.03365215286612511,4.962118469772592e-08
64005,0,192.36245727539062,-86.26268005371094,0.03365215286612511,5.0072999000357273e-08
64006,0,192.36245727539062,-86.26268005371094,0.033653486520051956,9.502656501896784e-08
64007,0,192.36245727539062,-86.26268005371094,0.033653486520051956,1.6753258587169983e-08
64008,0,192.36245727539062,-86.26268005371094,0.033653486520051956,5.504241751599067e-08
64009,0,192.36245727539062,-86.26268005371094,0.033653486520051956,1.4150922351107966e-07
64010,0,192.36245727539062,-86.26268005371094,0.033653486520051956,4.740882078801943e-09
64011,0,192.36245727539062,-86.26268005371094,0.033653486520051956,5.326800597592639e-09
64012,0,192.36245727539062,-86.26268005371094,0.033653486520051956,4.715143391435728e-09
64013,0,192.36245727539062,-86.26268005371094,0.033653486520051956,4.507021934991814e-09
64014,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.767278354669304e-09
64015,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.7889570440040005e-09
64016,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.666775572078902e-09
64017,0,192.36245727539062,-86.26268005371094,0.03365451842546463,5.271720096876239e-09
64018,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.948384627245689e-09
64019,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.673793536931811e-09
64020,0,192.36245727539062,-86.26266479492188,0.03365619480609894,0.0013512828008136267
64021,0,192.36251831054688,-86.25653839111328,0.03353568911552429,0.32016842208812735
64022,0,192.3626708984375,-86.24253845214844,0.03333110734820366,0.630340819735476
64023,0,192.36289978027344,-86.2209243774414,0.03309108689427376,0.9311127879161536
64024,0,192.3632049560547,-86.19197845458984,0.03284568712115288,1.2220581206731618
64025,0,192.3635711669922,-86.15595245361328,0.03261295333504677,1.5028873999999415
64026,0,192.36399841308594,-86.11312103271484,0.032403066754341125,1.7734198425763905
64027,0,192.36453247070312,-86.06375122070312,0.03222087770700455,2.0335709068516654
64028,0,192.3651123046875,-86.00809478759766,0.03206798434257507,2.2833444800199363
64029,0,192.36573791503906,-85.9464111328125,0.0319436639547348,2.5228236306604868
64030,0,192.36643981933594,-85.87895202636719,0.03184661641716957,2.7521649174418537
64031,0,192.36720275878906,-85.80596160888672,0.031774330884218216,2.9715873650958837
64032,0,192.3679962158203,-85.72769165039062,0.03172428160905838,3.181370582204871
64033,0,192.36888122558594,-85.64435577392578,0.03169361129403114,3.381837424953773
64034,0,192.36978149414062,-85.55619812011719,0.031679991632699966,3.5733508523438187
64035,0,192.37075805664062,-85.46342468261719,0.031680792570114136,3.756302801726906
64036,0,192.3717803955078,-85.36624145507812,0.03169357404112816,3.9311076868389896
64037,0,192.3728485107422,-85.26483917236328,0.03171638399362564,4.098237998929999
64038,0,192.37396240234375,-85.15940856933594,0.03174735978245735,4.258390012810432
64039,0,192.37509155273438,-85.05009460449219,0.031784363090991974,4.4120792875075985
64040,0,192.37625122070312,-84.93704986572266,0.03182617202401161,4.5596434835483945
64041,0,192.37745666503906,-84.8204345703125,0.03187160566449165,4.7014039024337135
64042,0,192.3787078857422,-84.70037841796875,0.0319194421172142,4.837680232064552
64043,0,192.38002014160156,-84.57701110839844,0.03196883946657181,4.96879657704945
64044,0,192.38134765625,-84.45045471191406,0.032166823744773865,5.095998058437985
64045,0,192.38270568847656,-84.32080841064453,0.032418593764305115,5.2182288498862075
64046,0,192.38406372070312,-84.18819427490234,0.03258155658841133,5.336221140077451
64047,0,192.3854217529297,-84.05268096923828,0.032686956226825714,5.450234276483482
64048,0,192.38682556152344,-83.9144058227539,0.03275546804070473,5.560534693524484
64049,0,192.38827514648438,-83.77342224121094,0.03280090168118477,5.667382234864452
64050,0,192.38978576660156,-83.62982177734375,0.032832298427820206,5.771023825934945
64051,0,192.39134216308594,-83.48371124267578,0.03285541385412216,5.87168802451859
64052,0,192.39295959472656,-83.33511352539062,0.03287395462393761,5.969606761908663
64053,0,192.39463806152344,-83.18412780761719,0.032890088856220245,6.0649737361756175
64054,0,192.39634704589844,-83.03079223632812,0.03290523588657379,6.157980596394711
64055,0,192.39810180664062,-82.87516784667969,0.032919999212026596,6.248799407024952
64056,0,192.39987182617188,-82.71731567382812,0.03293495252728462,6.33759214372057
64057,0,192.4016876220703,-82.55728149414062,0.032950133085250854,6.424503505926467
64058,0,192.40359497070312,-82.39509582519531,0.03296550735831261,6.509668177520056
64059,0,192.40550231933594,-82.23081970214844,0.03298114612698555,6.593214568834005
64060,0,192.4074249267578,-82.06449127197266,0.032996825873851776,6.675252740905688
64061,0,192.40939331054688,-81.8961181640625,0.03301254287362099,6.755886895543753
64062,0,192.41134643554688,-81.72576141357422,0.03302791342139244,6.835208471875227
64063,0,192.4132843017578,-81.55345153808594,0.03304309770464897,6.913308430768598
64064,0,192.4152374267578,-81.37919616699219,0.033057935535907745,6.990263627000779
64065,0,192.41720581054688,-81.20304870605469,0.03307235613465309,7.066147863810686
64066,0,192.41921997070312,-81.02500915527344,0.033086393028497696,7.141024454605293
64067,0,192.42124938964844,-80.84512329101562,0.03309982270002365,7.214954059136247
64068,0,192.4232635498047,-80.66340637207031,0.0331127904355526,7.287989021786364
64069,0,192.42530822753906,-80.47987365722656,0.03312522917985916,7.360184081775861
64070,0,192.4273223876953,-80.29454040527344,0.03313716873526573,7.431575629257974
64071,0,192.42933654785156,-80.10745239257812,0.033148422837257385,7.502219411872303
64072,0,192.43138122558594,-79.91860961914062,0.033159177750349045,7.572143319686519
64073,0,192.43345642089844,-79.72802734375,0.033169593662023544,7.641383545549047
64074,0,192.4354705810547,-79.53572845458984,0.03317943587899208,7.7099705595233665
64075,0,192.4375,-79.34171295166016,0.03318878263235092,7.777938952027739
64076,0,192.43948364257812,-79.1460189819336,0.033197708427906036,7.845310119455641
64077,0,192.44149780273438,-78.94865417480469,0.03320610150694847,7.912112099745555
64078,0,192.44346618652344,-78.74961853027344,0.03321418538689613,7.978364002967914
64079,0,192.44541931152344,-78.54894256591797,0.03322181478142738,8.044089361555608
64080,0,192.44737243652344,-78.34662628173828,0.03322898969054222,8.109633312940126
64081,0,192.4492950439453,-78.14414978027344,0.03326812759041786,8.102086356443063
64082,0,192.451171875,-77.94175720214844,0.03332565352320671,8.097979438794978
64083,0,192.4530029296875,-77.73943328857422,0.033389586955308914,8.094695429246071
64084,0,192.45486450195312,-77.53719329833984,0.03345344588160515,8.091640020613657
64085,0,192.45677185058594,-77.33501434326172,0.03351333364844322,8.088647589796517
64086,0,192.4586944580078,-77.1329116821289,0.03356796130537987,8.085674860822445
64087,0,192.460693359375,-76.93087005615234,0.03361675143241882,8.08270319430128
64088,0,192.4626922607422,-76.72889709472656,0.03365970402956009,8.07974067522711
64089,0,192.4647216796875,-76.52700805664062,0.03369716554880142,8.07677815521854
64090,0,192.46681213378906,-76.3251724243164,0.033729780465364456,8.073816394480376
64091,0,192.46897888183594,-76.12342071533203,0.03375793248414993,8.070844058010591
64092,0,192.47120666503906,-75.92173767089844,0.033782269805669785,8.067887908148915
64093,0,192.473388671875,-75.72012329101562,0.03380321338772774,8.064933523328062
64094,0,192.47555541992188,-75.51858520507812,0.0338212214410305,8.061980210830738
64095,0,192.4777069091797,-75.3171157836914,0.03383662924170494,8.059028961405971
