ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
63926,0,500.4911885387494,198.76744079589844,-95.83265686035156,-499.8193664550781
63927,0,5.595579574090421,195.56744384765625,-90.83265686035156,0.09999999403953552
63928,0,5.592365059106882,195.56744384765625,-90.83265686035156,0.09540698677301407
63929,0,5.589577830706274,195.56744384765625,-90.83265686035156,0.08469131588935852
63930,0,5.587154487252182,195.56744384765625,-90.83265686035156,0.0693112164735794
63931,0,5.58490284657624,195.56744384765625,-90.83265686035156,0.05613723769783974
63932,0,5.583078219951395,195.56744384765625,-90.83265686035156,0.04550548270344734
63933,0,5.582027767701456,195.56744384765625,-90.83265686035156,0.03692970052361488
63934,0,5.581839537785531,195.56744384765625,-90.83265686035156,0.030015792697668076
63935,0,5.581937002716514,195.56744384765625,-90.83265686035156,0.024444427341222763
63936,0,5.582054312131681,195.56744384765625,-90.83265686035156,0.01995697058737278
63937,0,5.582115992201545,195.56744384765625,-90.83265686035156,0.01634414680302143
63938,0,5.582104629980321,195.56744384765625,-90.83265686035156,0.013436851091682911
63939,0,5.582061392693935,195.56744384765625,-90.83265686035156,0.011098288930952549
63940,0,5.58203731373542,195.56744384765625,-90.83265686035156,0.009217948652803898
63941,0,5.581991710267062,195.56744384765625,-90.83265686035156,0.007706718053668737
63942,0,5.581948395724954,195.56744384765625,-90.83265686035156,0.00649261474609375
63943,0,5.581915910632607,195.56744384765625,-90.83265686035156,0.0055175782181322575
63944,0,5.581894103986878,195.56744384765625,-90.83265686035156,0.004734840244054794
63945,0,5.581857788633585,195.56744384765625,-90.83265686035156,0.004106712061911821
63946,0,5.581852601613148,195.56744384765625,-90.83265686035156,0.003602867014706135
63947,0,5.581852851883691,195.56744384765625,-90.83265686035156,0.003198814345523715
63948,0,5.581844342228537,195.56744384765625,-90.83265686035156,0.002874908270314336
63949,0,5.581850665159098,195.56744384765625,-90.83265686035156,0.0026153563521802425
63950,0,5.581858257548936,195.56744384765625,-90.83265686035156,0.00240745535120368
63951,0,5.581851332686023,195.56744384765625,-90.83265686035156,0.0022409819066524506
63952,0,5.581859368672208,195.56744384765625,-90.83265686035156,0.0021076963748782873
63953,0,5.581867010920091,195.56744384765625,-90.83265686035156,0.0020010375883430243
63954,0,5.581874055145872,195.56744384765625,-90.83265686035156,0.0019157028291374445
63955,0,5.581874153846434,195.56744384765625,-90.83265686035156,0.0018474578391760588
63956,0,5.581879768039407,195.56744384765625,-90.83265686035156,0.00179290771484375
63957,0,5.58188466719281,195.56744384765625,-90.83265686035156,0.0017492675688117743
63958,0,5.581888894137341,195.56744384765625,-90.83265686035156,0.0017144393641501665
63959,0,5.581892508051992,195.56744384765625,-90.83265686035156,0.0016865539364516735
63960,0,5.581895574108779,195.56744384765625,-90.83265686035156,0.0016643141862004995
63961,0,5.581898159364009,195.56744384765625,-90.83265686035156,0.0016465758671984076
63962,0,5.581900327548116,195.56744384765625,-90.83265686035156,0.001632423372939229
63963,0,5.58190213779374,195.56744384765625,-90.83265686035156,0.0016210937174037099
63964,0,5.581903642873353,195.56744384765625,-90.83265686035156,0.0016120909713208675
63965,0,5.581904890803503,195.56744384765625,-90.83265686035156,0.0016048812540248036
63966,0,5.581905921432526,195.56744384765625,-90.83265686035156,0.0015991592081263661
63967,0,5.581906771328464,195.56744384765625,-90.83265686035156,0.0015946197090670466
63968,0,5.581907470316533,195.56744384765625,-90.83265686035156,0.0015909957000985742
63969,0,5.581908044037622,195.56744384765625,-90.83265686035156,0.001588096609339118
63970,0,5.581908514439032,195.56744384765625,-90.83265686035156,0.0015857695834711194
63971,0,5.581908899371498,195.56744384765625,-90.83265686035156,0.0015839386032894254
63972,0,5.581909213320883,195.56744384765625,-90.83265686035156,0.0015824889997020364
63973,0,5.581903223963587,195.56744384765625,-90.83265686035156,0.0015813064528629184
63974,0,5.581903252948857,195.56744384765625,-90.83265686035156,0.0015813064528629184
63975,0,5.5819033288176,195.56744384765625,-90.83265686035156,0.0015813064528629184
63976,0,5.581903418670491,195.56744384765625,-90.83265686035156,0.0015813064528629184
63977,0,5.581903512915525,195.56744384765625,-90.83265686035156,0.0015813064528629184
63978,0,5.581903606356219,195.56744384765625,-90.83265686035156,0.0015813064528629184
63979,0,5.581903695022975,195.56744384765625,-90.83265686035156,0.0015813064528629184
63980,0,5.581903776753006,195.56744384765625,-90.83265686035156,0.0015813064528629184
63981,0,5.581903850875037,195.56744384765625,-90.83265686035156,0.0015813064528629184
63982,0,5.581903916696256,195.56744384765625,-90.83265686035156,0.0015813064528629184
63983,0,5.581903975105125,195.56744384765625,-90.83265686035156,0.0015813064528629184
63984,0,5.581904026308279,195.56744384765625,-90.83265686035156,0.0015813064528629184
63985,0,5.581904070085893,195.56744384765625,-90.83265686035156,0.0015813064528629184
63986,0,5.581904107736996,195.56744384765625,-90.83265686035156,0.0015813064528629184
63987,0,5.581904140156045,195.56744384765625,-90.83265686035156,0.0015813064528629184
63988,0,5.581904167746674,195.56744384765625,-90.83265686035156,0.0015813064528629184
63989,0,5.581904190977342,195.56744384765625,-90.83265686035156,0.0015813064528629184
63990,0,5.581904210252893,195.56744384765625,-90.83265686035156,0.0015813064528629184
63991,0,5.581904210252893,195.56744384765625,-90.83265686035156,0.0015813064528629184
63992,0,5.581904219003505,195.56744384765625,-90.83265686035156,0.0015813064528629184
63993,0,5.581904226898667,195.56744384765625,-90.83265686035156,0.0015813064528629184
63994,0,5.581904235222118,195.56744384765625,-90.83265686035156,0.0015813064528629184
