ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
47920,0,500.4911885387494,198.76744079589844,-95.83265686035156,-499.8193664550781
47921,0,5.595579574090421,195.56744384765625,-90.83265686035156,0.09999999403953552
47922,0,5.592365059106882,195.56744384765625,-90.83265686035156,0.09540698677301407
47923,0,5.589577830706274,195.56744384765625,-90.83265686035156,0.08469131588935852
47924,0,5.587154487252182,195.56744384765625,-90.83265686035156,0.0693112164735794
47925,0,5.58490284657624,195.56744384765625,-90.83265686035156,0.05613723769783974
47926,0,5.583078219951395,195.56744384765625,-90.83265686035156,0.04550548270344734
47927,0,5.582027767701456,195.56744384765625,-90.83265686035156,0.03692970052361488
47928,0,5.581839537785531,195.56744384765625,-90.83265686035156,0.030015792697668076
47929,0,5.581937002716514,195.56744384765625,-90.83265686035156,0.024444427341222763
47930,0,5.582054312131681,195.56744384765625,-90.83265686035156,0.01995697058737278
47931,0,5.582115992201545,195.56744384765625,-90.83265686035156,0.01634414680302143
47932,0,5.582104629980321,195.56744384765625,-90.83265686035156,0.013436851091682911
47933,0,5.582061392693935,195.56744384765625,-90.83265686035156,0.011098288930952549
47934,0,5.5820373134467065,195.56744384765625,-90.83265686035156,0.009217948652803898
47935,0,5.581991710267062,195.56744384765625,-90.83265686035156,0.007706718053668737
47936,0,5.581948395724954,195.56744384765625,-90.83265686035156,0.00649261474609375
47937,0,5.581915910488065,195.56744384765625,-90.83265686035156,0.0055175782181322575
47938,0,5.581894103986878,195.56744384765625,-90.83265686035156,0.004734840244054794
47939,0,5.581857788633585,195.56744384765625,-90.83265686035156,0.004106712061911821
47940,0,5.581852601613148,195.56744384765625,-90.83265686035156,0.003602867014706135
47941,0,5.581852851864529,195.56744384765625,-90.83265686035156,0.003198814345523715
47942,0,5.58184434217906,195.56744384765625,-90.83265686035156,0.002874908270314336
47943,0,5.5818506650832616,195.56744384765625,-90.83265686035156,0.0026153563521802425
47944,0,5.581858257548936,195.56744384765625,-90.83265686035156,0.00240745535120368
47945,0,5.5818513325650745,195.56744384765625,-90.83265686035156,0.0022409819066524506
47946,0,5.5818593685408135,195.56744384765625,-90.83265686035156,0.0021076963748782873
47947,0,5.581867010774956,195.56744384765625,-90.83265686035156,0.0020010375883430243
47948,0,5.581874055145872,195.56744384765625,-90.83265686035156,0.0019157028291374445
47949,0,5.581874153846434,195.56744384765625,-90.83265686035156,0.0018474578391760588
47950,0,5.581879768039407,195.56744384765625,-90.83265686035156,0.00179290771484375
47951,0,5.58188466719281,195.56744384765625,-90.83265686035156,0.0017492675688117743
47952,0,5.581888894137341,195.56744384765625,-90.83265686035156,0.0017144393641501665
47953,0,5.581892508051992,195.56744384765625,-90.83265686035156,0.0016865539364516735
47954,0,5.581895574108779,195.56744384765625,-90.83265686035156,0.0016643141862004995
47955,0,5.581898159364009,195.56744384765625,-90.83265686035156,0.0016465758671984076
47956,0,5.581900327346283,195.56744384765625,-90.83265686035156,0.001632423372939229
47957,0,5.58190213779374,195.56744384765625,-90.83265686035156,0.0016210937174037099
47958,0,5.581903642873353,195.56744384765625,-90.83265686035156,0.0016120909713208675
47959,0,5.581904890803503,195.56744384765625,-90.83265686035156,0.0016048812540248036
47960,0,5.581905921432526,195.56744384765625,-90.83265686035156,0.0015991592081263661
47961,0,5.581906771538084,195.56744384765625,-90.83265686035156,0.0015946197090670466
47962,0,5.581907470548025,195.56744384765625,-90.83265686035156,0.0015909957000985742
47963,0,5.581908044037622,195.56744384765625,-90.83265686035156,0.001588096609339118
47964,0,5.581908514439032,195.56744384765625,-90.83265686035156,0.0015857695834711194
47965,0,5.581908899371498,195.56744384765625,-90.83265686035156,0.0015839386032894254
47966,0,5.581909213320883,195.56744384765625,-90.83265686035156,0.0015824889997020364
47967,0,5.581903223963587,195.56744384765625,-90.83265686035156,0.0015813064528629184
47968,0,5.581903252948857,195.56744384765625,-90.83265686035156,0.0015813064528629184
47969,0,5.58190332903052,195.56744384765625,-90.83265686035156,0.0015813064528629184
47970,0,5.581903418670491,195.56744384765625,-90.83265686035156,0.0015813064528629184
47971,0,5.581903512915525,195.56744384765625,-90.83265686035156,0.0015813064528629184
47972,0,5.581903606356219,195.56744384765625,-90.83265686035156,0.0015813064528629184
47973,0,5.581903695022975,195.56744384765625,-90.83265686035156,0.0015813064528629184
47974,0,5.581903776753006,195.56744384765625,-90.83265686035156,0.0015813064528629184
47975,0,5.581903850640155,195.56744384765625,-90.83265686035156,0.0015813064528629184
47976,0,5.581903916909861,195.56744384765625,-90.83265686035156,0.0015813064528629184
47977,0,5.581903975318798,195.56744384765625,-90.83265686035156,0.0015813064528629184
47978,0,5.581904026308279,195.56744384765625,-90.83265686035156,0.0015813064528629184
47979,0,5.581904070085893,195.56744384765625,-90.83265686035156,0.0015813064528629184
47980,0,5.581904107736996,195.56744384765625,-90.83265686035156,0.0015813064528629184
47981,0,5.581904140156045,195.56744384765625,-90.83265686035156,0.0015813064528629184
47982,0,5.581904167746674,195.56744384765625,-90.83265686035156,0.0015813064528629184
47983,0,5.581904190977342,195.56744384765625,-90.83265686035156,0.0015813064528629184
47984,0,5.581904210252893,195.56744384765625,-90.83265686035156,0.0015813064528629184
47985,0,5.581904210252893,195.56744384765625,-90.83265686035156,0.0015813064528629184
47986,0,5.581904219003505,195.56744384765625,-90.83265686035156,0.0015813064528629184
47987,0,5.581904226898667,195.56744384765625,-90.83265686035156,0.0015813064528629184
47988,0,5.581904235222118,195.56744384765625,-90.83265686035156,0.0015813064528629184
