ts,agent_id,x,y,z,v
61516,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
61517,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
61518,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
61519,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
61520,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
61521,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
61522,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
61523,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
61524,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.723068547588556e-08
61525,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.485561285100296e-08
61526,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.377034706779644e-08
61527,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.645845022540865e-08
61528,0,192.36241149902344,-86.26268005371094,-0.041076697409152985,0.000286121828837248
61529,0,192.36244201660156,-86.26265716552734,-0.03865554556250572,0.0011623666390194883
61530,0,192.36241149902344,-86.26264190673828,-0.03404334932565689,0.00048482502156350633
61531,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.0001343804637865991
61532,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.477934477619429e-05
61533,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.00012745096652473024
61534,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.0001618057197401732
61535,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.00016996701983280094
61536,0,192.36244201660156,-86.26264190673828,0.0013550567673519254,0.000164748252981211
61537,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.00015310330000185582
61538,0,192.36244201660156,-86.26265716552734,0.01010768860578537,0.0001393815141360629
61539,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.00012441592508053955
61540,0,192.36244201660156,-86.26265716552734,0.016817854717373848,0.00011095090725021683
61541,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.780941709651976e-05
61542,0,192.36245727539062,-86.26266479492188,0.021795349195599556,8.6004332725895e-05
61543,0,192.36245727539062,-86.26266479492188,0.023747749626636505,7.529760257781739e-05
61544,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.576502127017263e-05
61545,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.7372868307056755e-05
61546,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.0117673323860915e-05
61547,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.363765758759689e-05
61548,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.8369488097795164e-05
61549,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.3453587826170714e-05
61550,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.917999390993459e-05
