ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
61516,0,500.4911885387494,198.76744079589844,-95.83265686035156,-499.8193664550781
61517,0,5.595579574090421,195.56744384765625,-90.83265686035156,0.09999999403953552
61518,0,5.592365059106882,195.56744384765625,-90.83265686035156,0.09540698677301407
61519,0,5.589577830706274,195.56744384765625,-90.83265686035156,0.08469131588935852
61520,0,5.587154487252182,195.56744384765625,-90.83265686035156,0.0693112164735794
61521,0,5.58490284657624,195.56744384765625,-90.83265686035156,0.05613723769783974
61522,0,5.583078219951395,195.56744384765625,-90.83265686035156,0.04550548270344734
61523,0,5.582027767701456,195.56744384765625,-90.83265686035156,0.03692970052361488
61524,0,5.581839537785531,195.56744384765625,-90.83265686035156,0.030015792697668076
61525,0,5.581937002716514,195.56744384765625,-90.83265686035156,0.024444427341222763
61526,0,5.582054312131681,195.56744384765625,-90.83265686035156,0.01995697058737278
61527,0,5.582115992201545,195.56744384765625,-90.83265686035156,0.01634414680302143
61528,0,5.582104629616517,195.56744384765625,-90.83265686035156,0.013436851091682911
61529,0,5.582061392693935,195.56744384765625,-90.83265686035156,0.011098288930952549
61530,0,5.58203731373542,195.56744384765625,-90.83265686035156,0.009217948652803898
61531,0,5.581991710267062,195.56744384765625,-90.83265686035156,0.007706718053668737
61532,0,5.581948395724954,195.56744384765625,-90.83265686035156,0.00649261474609375
61533,0,5.581915910632607,195.56744384765625,-90.83265686035156,0.0055175782181322575
61534,0,5.581894103986878,195.56744384765625,-90.83265686035156,0.004734840244054794
61535,0,5.581857788633585,195.56744384765625,-90.83265686035156,0.004106712061911821
61536,0,5.581852601597771,195.56744384765625,-90.83265686035156,0.003602867014706135
61537,0,5.581852851883691,195.56744384765625,-90.83265686035156,0.003198814345523715
61538,0,5.581844342228537,195.56744384765625,-90.83265686035156,0.002874908270314336
61539,0,5.581850665159098,195.56744384765625,-90.83265686035156,0.0026153563521802425
61540,0,5.581858257548936,195.56744384765625,-90.83265686035156,0.00240745535120368
61541,0,5.5818513325650745,195.56744384765625,-90.83265686035156,0.0022409819066524506
61542,0,5.5818593685408135,195.56744384765625,-90.83265686035156,0.0021076963748782873
61543,0,5.581867010774956,195.56744384765625,-90.83265686035156,0.0020010375883430243
61544,0,5.581874055145872,195.56744384765625,-90.83265686035156,0.0019157028291374445
61545,0,5.581874153846434,195.56744384765625,-90.83265686035156,0.0018474578391760588
61546,0,5.581879768039407,195.56744384765625,-90.83265686035156,0.00179290771484375
61547,0,5.58188466719281,195.56744384765625,-90.83265686035156,0.0017492675688117743
61548,0,5.581888894137341,195.56744384765625,-90.83265686035156,0.0017144393641501665
61549,0,5.581892508051992,195.56744384765625,-90.83265686035156,0.0016865539364516735
61550,0,5.581895574108779,195.56744384765625,-90.83265686035156,0.0016643141862004995
61551,0,5.581898159364009,195.56744384765625,-90.83265686035156,0.0016465758671984076
61552,0,5.581900327346283,195.56744384765625,-90.83265686035156,0.001632423372939229
61553,0,5.58190213758969,195.56744384765625,-90.83265686035156,0.0016210937174037099
61554,0,5.581903642873353,195.56744384765625,-90.83265686035156,0.0016120909713208675
61555,0,5.581904890803503,195.56744384765625,-90.83265686035156,0.0016048812540248036
61556,0,5.581905921641135,195.56744384765625,-90.83265686035156,0.0015991592081263661
61557,0,5.581906771328464,195.56744384765625,-90.83265686035156,0.0015946197090670466
61558,0,5.581907470316533,195.56744384765625,-90.83265686035156,0.0015909957000985742
61559,0,5.581908044037622,195.56744384765625,-90.83265686035156,0.001588096609339118
61560,0,5.581908514439032,195.56744384765625,-90.83265686035156,0.0015857695834711194
61561,0,5.581908899371498,195.56744384765625,-90.83265686035156,0.0015839386032894254
61562,0,5.58190921353338,195.56744384765625,-90.83265686035156,0.0015824889997020364
61563,0,5.581903223963587,195.56744384765625,-90.83265686035156,0.0015813064528629184
61564,0,5.581903252948857,195.56744384765625,-90.83265686035156,0.0015813064528629184
61565,0,5.5819033288176,195.56744384765625,-90.83265686035156,0.0015813064528629184
61566,0,5.581903418670491,195.56744384765625,-90.83265686035156,0.0015813064528629184
61567,0,5.581903513149973,195.56744384765625,-90.83265686035156,0.0015813064528629184
61568,0,5.581903606356219,195.56744384765625,-90.83265686035156,0.0015813064528629184
61569,0,5.581903695022975,195.56744384765625,-90.83265686035156,0.0015813064528629184
61570,0,5.581903776753006,195.56744384765625,-90.83265686035156,0.0015813064528629184
61571,0,5.581903850875037,195.56744384765625,-90.83265686035156,0.0015813064528629184
61572,0,5.581903916909861,195.56744384765625,-90.83265686035156,0.0015813064528629184
61573,0,5.581903975318798,195.56744384765625,-90.83265686035156,0.0015813064528629184
61574,0,5.581904026094546,195.56744384765625,-90.83265686035156,0.0015813064528629184
61575,0,5.5819040698721105,195.56744384765625,-90.83265686035156,0.0015813064528629184
61576,0,5.581904107523169,195.56744384765625,-90.83265686035156,0.0015813064528629184
