ts,agent_id,throttle,steer,brake
61516,0,0.8999999761581421,0.03838297724723816,0.0
61517,0,0.8999999761581421,-0.003632034407928586,0.0
61518,0,0.8999999761581421,-0.025837672874331474,0.0
61519,0,0.8999999761581421,-0.021544016897678375,0.0
61520,0,0.8999999761581421,-0.021225903183221817,0.0
61521,0,0.8999999761581421,-0.010263459756970406,0.0
61522,0,0.8999999761581421,-0.008257848210632801,0.0
61523,0,0.8999999761581421,-0.00046230884618125856,0.0
61524,0,0.8999999761581421,-0.0002698488824535161,0.0
61525,0,0.8999999761581421,-1.4481425751000643e-05,0.0
61526,0,0.8999999761581421,-1.8729471776168793e-05,0.0
61527,0,0.8999999761581421,-0.0014982229331508279,0.0
61528,0,0.8999999761581421,-0.00098409375641495,0.0
61529,0,0.8999999761581421,-0.00114234269130975,0.0
61530,0,0.8999999761581421,0.0002441126125631854,0.0
61531,0,0.8999999761581421,-0.0017757299356162548,0.0
61532,0,0.8999999761581421,-0.0010589263401925564,0.0
61533,0,0.8999999761581421,-0.0013689633924514055,0.0
61534,0,0.8999999761581421,-0.00038732337998226285,0.0
61535,0,0.8999999761581421,-0.001055610948242247,0.0
61536,0,0.8999999761581421,0.0002890336327254772,0.0
61537,0,0.8999999761581421,0.0006603392539545894,0.0
61538,0,0.8999999761581421,-0.000196771725313738,0.0
61539,0,0.8999999761581421,-0.00041873916052281857,0.0
61540,0,0.8999999761581421,-0.001045739627443254,0.0
61541,0,0.8999999761581421,-0.00017898491933010519,0.0
61542,0,0.8999999761581421,0.0011144602904096246,0.0
61543,0,0.8999999761581421,0.0014259804738685489,0.0
61544,0,0.8999999761581421,0.0016727077309042215,0.0
61545,0,0.8999999761581421,0.0009238594211637974,0.0
61546,0,0.8999999761581421,0.0016294174129143357,0.0
61547,0,0.8999999761581421,0.0008470742614008486,0.0
61548,0,0.8999999761581421,0.0004301134613342583,0.0
61549,0,0.8999999761581421,-0.0006161524797789752,0.0
61550,0,0.8999999761581421,-0.0010666253510862589,0.0
61551,0,0.8999999761581421,-0.0016677351668477058,0.0
61552,0,0.8999999761581421,-0.0017825212562456727,0.0
61553,0,0.8999999761581421,-0.0019277017563581467,0.0
61554,0,0.8999999761581421,-0.0018180933548137546,0.0
61555,0,0.8999999761581421,-0.0022007268853485584,0.0
61556,0,0.8999999761581421,-0.0007562669925391674,0.0
61557,0,0.8999999761581421,-0.0011332976864650846,0.0
